,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year
89,Total all ages,131389,2064,18253,33,164,371,1496,1103,16721,365,64,10317,729,977,26,1068,3161,1114,177,850,13377,3.0,1423,9038,6930,4076,4361,55,52454,0.0,936,,,UTAH,2013
90,Under 18,779,34,144,0,8,4,22,21,99,16,8,143,1,2,0,9,64,12,0,1,67,0.0,5,16,84,2,66,0,129,0.0,0,67.0,577603.0,VERMONT,2013
91,Total all ages,13418,510,1989,6,59,31,414,286,1614,60,29,1462,58,271,50,177,328,22,9,37,1250,0.0,252,2476,243,3,743,0,3538,0.0,0,,,VERMONT,2013
92,Under 18,21995,604,4490,10,32,279,283,651,3642,123,74,3622,35,133,16,129,840,301,3,203,2537,2.0,45,104,1316,159,769,0,5230,0.0,1457,355.0,8250187.0,VIRGINIA,2013
93,Total all ages,321040,6858,37223,331,326,1754,4447,4074,32079,867,203,35706,1990,6151,1520,978,4255,3501,862,1031,39536,58.0,2628,25813,10353,28325,4536,186,108073,0.0,1457,,,VIRGINIA,2013
94,Under 18,16939,903,5049,8,80,304,511,798,4006,197,48,3349,12,20,2,220,1087,264,6,149,1881,0.0,19,190,1324,3,303,11,2140,0.0,7,228.0,5937459.0,WASHINGTON,2013
95,Total all ages,189806,7699,36129,121,436,1868,5274,5231,29491,1232,175,25754,1005,931,78,3139,5645,1855,399,602,11346,0.0,448,29153,4586,30,3533,134,57333,0.0,7,,,WASHINGTON,2013
96,Under 18,1463,54,346,2,5,6,41,41,296,6,3,211,0,10,1,6,60,18,1,14,162,0.0,0,21,99,6,26,0,392,0.0,36,252.0,1587813.0,WEST VIRGINIA,2013
97,Total all ages,49225,1834,6900,29,58,171,1576,878,5816,174,32,5502,319,704,145,357,721,354,117,154,6651,5.0,83,5960,1758,2440,885,11,14289,0.0,36,,,WEST VIRGINIA,2013
98,Under 18,55187,1344,8546,6,167,528,643,975,7164,325,82,2930,26,173,14,427,1846,726,23,885,3495,20.0,127,295,4164,0,10344,57,16211,0.0,3534,382.0,5621676.0,WISCONSIN,2013
99,Total all ages,305446,8002,36871,146,619,1687,5550,3816,31782,1064,209,17569,1006,3789,259,1503,7115,3708,495,2371,25582,93.0,2445,26562,20590,3,43614,2080,98255,0.0,3534,,,WISCONSIN,2013
100,Under 18,3798,35,716,2,9,2,22,37,648,27,4,390,1,13,0,9,165,27,2,18,476,0.0,6,49,581,20,143,25,852,1.0,269,59.0,551885.0,WYOMING,2013
101,Total all ages,31636,529,3052,13,37,24,455,231,2684,107,30,2728,58,200,8,64,560,91,32,139,3527,0.0,203,3893,2703,2523,1026,54,9938,39.0,269,,,WYOMING,2013
0,Under 18,144,3,84,0,0,2,1,3,80,0,1,22,0,1,0,3,0,1,0,0,9,0.0,0,1,1,1,6,0,12,0.0,0,1.0,84843.0,ALABAMA,2014
1,Total all ages,1815,33,695,1,1,20,11,15,679,0,1,218,8,19,7,22,5,15,0,0,220,0.0,0,162,7,119,21,8,256,0.0,0,,,ALABAMA,2014
2,Under 18,1863,129,604,1,10,22,96,71,491,24,18,201,2,7,4,3,121,35,0,22,199,0.0,2,26,243,15,28,0,217,0.0,5,28.0,469145.0,ALASKA,2014
3,Total all ages,25935,1577,3451,19,87,208,1263,282,2824,204,141,3134,77,182,62,24,732,218,36,250,1159,0.0,187,2336,1171,125,731,0,10461,17.0,5,,,ALASKA,2014
4,Under 18,26173,821,5953,12,46,220,543,768,4838,285,62,3589,18,57,5,82,2036,180,6,291,3475,0.0,223,218,2682,0,1591,45,3523,0.0,1378,86.0,6303555.0,ARIZONA,2014
5,Total all ages,261448,8899,41250,181,303,1593,6822,3893,35580,1579,198,25530,1140,2076,156,1182,10747,2370,855,1629,29670,6.0,2466,26843,14323,0,14777,288,75863,0.0,1378,,,ARIZONA,2014
