,Year,State,Age,CommercialSexAct,InvoluntaryServitude,TotalTraffick
281,2020,WISCONSIN,Total all ages,5839,483,6322
282,2020,WYOMING,Total all ages,117,0,117
283,2021,ALABAMA,Total all ages,1023,0,1023
284,2021,ALASKA,Total all ages,20,0,20
285,2021,ARIZONA,Total all ages,325,41,366
286,2021,ARKANSAS,Total all ages,384,0,384
287,2021,COLORADO,Total all ages,3684,256,3940
288,2021,CONNECTICUT,Total all ages,448,384,832
289,2021,DELAWARE,Total all ages,180,120,300
290,2021,GEORGIA,Total all ages,7825,1952,9777
291,2021,GEORGIA,Under 18,350,0,350
292,2021,HAWAII,Total all ages,320,0,320
293,2021,IDAHO,Total all ages,192,64,256
294,2021,ILLINOIS,Total all ages,384,192,576
295,2021,INDIANA,Total all ages,2688,726,3414
296,2021,IOWA,Total all ages,652,172,824
297,2021,KENTUCKY,Total all ages,1036,930,1966
298,2021,LOUISIANA,Total all ages,512,0,512
299,2021,MAINE,Total all ages,128,0,128
300,2021,MARYLAND,Total all ages,128,128,256
301,2021,MASSACHUSETTS,Total all ages,1893,700,2593
302,2021,MICHIGAN,Total all ages,2052,389,2441
303,2021,MINNESOTA,Total all ages,6435,64,6499
304,2021,MISSISSIPPI,Total all ages,153,0,153
305,2021,MISSOURI,Total all ages,2432,0,2432
306,2021,MONTANA,Total all ages,128,0,128
307,2021,NEBRASKA,Total all ages,832,384,1216
308,2021,NEVADA,Total all ages,13701,138,13839
309,2021,NEVADA,Under 18,320,0,320
310,2021,NEW HAMPSHIRE,Total all ages,326,181,507
311,2021,NEW JERSEY,Total all ages,64,64,128
312,2021,NEW MEXICO,Total all ages,512,256,768
313,2021,NEW YORK,Total all ages,256,0,256
314,2021,NORTH CAROLINA,Total all ages,1856,1971,3827
315,2021,NORTH DAKOTA,Total all ages,448,0,448
316,2021,OHIO,Total all ages,690,1024,1714
317,2021,OKLAHOMA,Total all ages,1426,256,1682
318,2021,OREGON,Total all ages,2236,192,2428
319,2021,PENNSYLVANIA,Total all ages,832,188,1020
320,2021,RHODE ISLAND,Total all ages,296,0,296
321,2021,SOUTH CAROLINA,Total all ages,1379,256,1635
322,2021,SOUTH DAKOTA,Total all ages,466,0,466
323,2021,TENNESSEE,Total all ages,6766,128,6894
324,2021,TEXAS,Total all ages,22827,11961,34788
325,2021,TEXAS,Under 18,114,960,1074
326,2021,UTAH,Total all ages,2752,766,3518
327,2021,VERMONT,Total all ages,146,0,146
328,2021,VIRGINIA,Total all ages,3292,564,3856
329,2021,VIRGINIA,Under 18,64,0,64
330,2021,WASHINGTON,Total all ages,3350,346,3696
331,2021,WASHINGTON DC,Total all ages,32,8,40
332,2021,WEST VIRGINIA,Total all ages,1734,128,1862
333,2021,WISCONSIN,Total all ages,4233,768,5001
334,2021,WISCONSIN,Under 18,45,0,45
335,2021,WYOMING,Total all ages,320,212,532
336,2013,MISSOURI,Over 18,384,0,384
337,2013,OHIO,Over 18,64,64,128
338,2013,TENNESSEE,Over 18,256,0,256
339,2013,WASHINGTON,Over 18,64,0,64
340,2014,ALASKA,Over 18,218,0,218
341,2014,ARIZONA,Over 18,918,0,918
342,2014,COLORADO,Over 18,694,128,822
343,2014,FLORIDA,Over 18,3648,192,3840
344,2014,HAWAII,Over 18,64,0,64
345,2014,ILLINOIS,Over 18,3211,1131,4342
346,2014,MICHIGAN,Over 18,0,64,64
347,2014,MINNESOTA,Over 18,2256,106,2362
348,2014,MISSOURI,Over 18,192,64,256
349,2014,MONTANA,Over 18,0,64,64
350,2014,OKLAHOMA,Over 18,640,0,640
351,2014,TENNESSEE,Over 18,2058,64,2122
352,2014,TEXAS,Over 18,4800,6724,11524
353,2014,WASHINGTON,Over 18,64,0,64
354,2014,WISCONSIN,Over 18,384,64,448
355,2014,WYOMING,Over 18,0,64,64
356,2015,ARKANSAS,Over 18,256,0,256
357,2015,COLORADO,Over 18,694,300,994
358,2015,HAWAII,Over 18,128,0,128
359,2015,ILLINOIS,Over 18,1152,64,1216
360,2015,MARYLAND,Over 18,576,0,576
361,2015,MASSACHUSETTS,Over 18,0,128,128
362,2015,MICHIGAN,Over 18,135,0,135
363,2015,MINNESOTA,Over 18,7019,0,7019
364,2015,MISSOURI,Over 18,448,0,448
365,2015,NEVADA,Over 18,13632,128,13760
366,2015,OHIO,Over 18,256,-64,192
367,2015,OKLAHOMA,Over 18,2368,128,2496
368,2015,SOUTH CAROLINA,Over 18,746,243,989
369,2015,TENNESSEE,Over 18,2329,192,2521
370,2015,TEXAS,Over 18,6178,11686,17864
371,2015,WASHINGTON,Over 18,832,0,832
372,2015,WISCONSIN,Over 18,256,0,256
373,2015,WYOMING,Over 18,0,64,64
374,2016,ALASKA,Over 18,326,64,390
375,2016,ARIZONA,Over 18,1167,0,1167
376,2016,ARKANSAS,Over 18,256,128,384
377,2016,COLORADO,Over 18,1260,918,2178
378,2016,CONNECTICUT,Over 18,320,256,576
379,2016,DELAWARE,Over 18,784,0,784
380,2016,FLORIDA,Over 18,6183,448,6631
