,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year,TotalNonTraffickSex
103,Total all ages,96862,5534,10925,195,281,437,4621,1702,8608,553,62,10858,618,625,29,1672,1518,1008,17,77,15294,8,253,4938,872,3123,2027,300,37000,0,166,0,0,ARKANSAS,2020,358
104,Over 18,91689,5119,10005,170,232,357,4360,1497,7961,491,56,9798,612,598,28,1506,1329,912,16,64,14732,8,248,4895,784,3093,1676,300,35966,0,0,0,0,ARKANSAS,2020,296
105,Under 18,6135,457,745,21,40,35,361,194,470,70,11,1469,2,10,0,148,334,118,1,15,719,0,3,43,99,0,518,0,1282,0,172,252,2857932,ARKANSAS,2021,55
106,Total all ages,104439,5660,9342,196,285,348,4831,1653,6961,660,68,11540,499,505,26,1663,1688,1139,55,98,16238,9,323,5125,1036,0,2311,214,46796,0,172,0,0,ARKANSAS,2021,383
107,Over 18,98304,5203,8597,175,245,313,4470,1459,6491,590,57,10071,497,495,26,1515,1354,1021,54,83,15519,9,320,5082,937,0,1793,214,45514,0,0,0,0,ARKANSAS,2021,328
108,Under 18,94067,8170,21758,108,116,3103,4843,7559,12323,1505,371,11218,80,241,8,1806,4959,4211,205,1356,9284,10,4,598,2267,1699,4078,175,18057,0,3883,685,38284824,CALIFORNIA,2013,1472
109,Total all ages,1212801,101342,139624,1425,1600,15930,82387,50390,74234,13909,1091,77525,5598,6722,1053,19613,17445,25676,10260,10286,217520,389,266,161055,14029,90812,7205,7193,295305,0,3883,0,0,CALIFORNIA,2013,11886
110,Over 18,1118734,93172,117866,1317,1484,12827,77544,42831,61911,12404,720,66307,5518,6481,1045,17807,12486,21465,10055,8930,208236,379,262,160457,11762,89113,3127,7018,277248,0,0,0,0,CALIFORNIA,2013,10414
111,Under 18,83391,7899,18970,95,275,2735,4794,6902,10408,1367,293,10336,85,227,12,1454,4331,3716,181,1205,8463,15,5,526,2155,1548,2978,172,15877,0,3236,684,38716884,CALIFORNIA,2014,1480
112,Total all ages,1217089,106058,134746,1427,2443,14793,87395,48498,71440,13755,1053,78126,5222,6551,1047,17379,17175,24484,9153,9727,229083,285,316,155285,15673,89901,6308,8105,299229,0,3236,0,0,CALIFORNIA,2014,12170
113,Over 18,1133698,98159,115776,1332,2168,12058,82601,41596,61032,12388,760,67790,5137,6324,1035,15925,12844,20768,8972,8522,220620,270,311,154759,13518,88353,3330,7933,283352,0,0,0,0,CALIFORNIA,2014,10690
114,Under 18,67884,7207,15085,87,253,2585,4282,5537,7799,1504,245,9708,75,186,17,1197,3556,3490,144,1145,6663,19,1,515,1627,1104,1914,124,12194,0,1913,689,38908726,CALIFORNIA,2015,1398
115,Total all ages,1158479,107454,127671,1431,2465,15841,87717,44146,65037,17303,1185,81413,4860,6499,972,16316,17143,25946,8099,9395,206194,255,240,141458,12186,78534,4674,7504,299745,8,1913,0,0,CALIFORNIA,2015,11860
116,Over 18,1090595,100247,112586,1344,2212,13256,83435,38609,57238,15799,940,71705,4785,6313,955,15119,13587,22456,7955,8250,199531,236,239,140943,10559,77430,2760,7380,287551,8,0,0,0,CALIFORNIA,2015,10462
117,Under 18,58758,7015,12519,92,275,2601,4047,4583,6169,1508,259,8977,62,180,15,982,3050,3379,112,1123,6291,3,3,493,1210,880,1264,101,9645,0,1454,613,39012007,CALIFORNIA,2016,1398
118,Total all ages,1118712,106828,115354,1437,2560,15866,86965,40808,54720,18521,1305,80835,5000,6324,955,16500,17202,27707,7601,9222,219016,266,236,129752,8857,69869,3906,6597,285231,0,1454,0,0,CALIFORNIA,2016,11782
119,Over 18,1059954,99813,102835,1345,2285,13265,82918,36225,48551,17013,1046,71858,4938,6144,940,15518,14152,24328,7489,8099,212725,263,233,129259,7647,68989,2642,6496,275586,0,0,0,0,CALIFORNIA,2016,10384
120,Under 18,51603,7152,10712,98,295,2952,3807,4067,4616,1774,255,8483,45,175,23,1167,2656,3081,18,1139,3781,11,2,455,1107,695,1193,103,8607,0,998,676,39386220,CALIFORNIA,2017,1434
121,Total all ages,1093363,109117,105757,1499,2561,16942,88115,38094,46602,19501,1560,80248,4440,6903,990,17398,16883,28547,7056,9244,212025,287,227,122961,7079,63278,3530,6773,289622,0,998,0,0,CALIFORNIA,2017,11805
122,Over 18,1041760,101965,95045,1401,2266,13990,84308,34027,41986,17727,1305,71765,4395,6728,967,16231,14227,25466,7038,8105,208244,276,225,122506,5972,62583,2337,6670,281015,0,0,0,0,CALIFORNIA,2017,10371
123,Under 18,42958,7210,7484,84,245,2937,3944,2864,3048,1402,170,8026,37,118,17,915,2030,2748,12,876,2967,8,1,474,930,522,1007,88,6836,0,652,700,39431921,CALIFORNIA,2018,1121
124,Total all ages,1093080,110236,97247,1409,2539,16670,89618,35230,42468,18020,1529,81812,4118,6105,921,16227,16652,28290,6418,8901,219251,403,268,127250,5948,58286,3451,7290,293353,1,652,0,0,CALIFORNIA,2018,11440
125,Over 18,1050122,103026,89763,1325,2294,13733,85674,32366,39420,16618,1359,73786,4081,5987,904,15312,14622,25542,6406,8025,216284,395,267,126776,5018,57764,2444,7202,286517,1,0,0,0,CALIFORNIA,2018,10319
126,Under 18,38617,6745,6539,64,193,2806,3682,2362,2884,1164,129,7292,44,159,19,781,2112,2617,19,811,2459,9,3,464,838,456,832,64,5643,0,711,717,38183434,CALIFORNIA,2019,1004
127,Total all ages,1014785,102427,88854,1284,2155,15404,83584,32859,39588,14870,1537,77849,3721,6703,972,14777,16462,26673,5751,8560,212417,562,278,120262,5363,53788,3218,4688,260749,0,711,0,0,CALIFORNIA,2019,10715
128,Over 18,976168,95682,82315,1220,1962,12598,79902,30497,36704,13706,1408,70557,3677,6544,953,13996,14350,24056,5732,7749,209958,553,275,119798,4525,53332,2386,4624,255106,0,0,0,0,CALIFORNIA,2019,9711
