,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year,TotalNonTraffickSex
129,Under 18,23588,4643,3820,79,150,1953,2461,1563,1259,920,78,3910,23,113,9,590,1470,1734,5,434,1184,1,3,437,443,267,359,33,3715,0,395,673,38994766,CALIFORNIA,2020,584
130,Total all ages,847606,100579,72990,1594,2060,13636,83289,26220,28350,16369,2051,68962,2753,5042,680,14631,17493,28407,4453,7258,185985,675,308,95778,2728,35841,2636,3289,196723,0,395,0,0,CALIFORNIA,2020,9318
131,Over 18,824018,95936,69170,1515,1910,11683,80828,24657,27091,15449,1973,65052,2730,4929,671,14041,16023,26673,4448,6824,184801,674,305,95341,2285,35574,2277,3256,193008,0,0,0,0,CALIFORNIA,2020,8734
132,Under 18,5267,283,207,5,5,72,201,33,126,41,7,285,0,6,0,29,88,232,1,12,229,0,0,30,69,0,3,0,3737,0,56,14,2861998,CALIFORNIA,2021,17
133,Total all ages,80110,4322,3853,70,67,812,3373,910,1981,823,139,8565,162,451,22,1218,1354,2103,363,125,11629,11,6,4858,166,0,97,322,40427,0,56,0,0,CALIFORNIA,2021,192
134,Over 18,74843,4039,3646,65,62,740,3172,877,1855,782,132,8280,162,445,22,1189,1266,1871,362,113,11400,11,6,4828,97,0,94,322,36690,0,0,0,0,CALIFORNIA,2021,175
135,Under 18,26158,539,5673,7,39,132,361,456,4853,276,88,1634,10,82,1,56,1136,303,13,191,3056,0,64,290,2159,48,2305,0,7362,0,1236,203,5107902,COLORADO,2013,230
136,Total all ages,230910,5691,28833,120,333,1000,4238,2425,24873,1340,195,15461,648,1758,89,646,5141,1841,314,687,12370,3,3183,28723,13377,238,10359,367,99945,0,1236,0,0,COLORADO,2013,1020
137,Over 18,204752,5152,23160,113,294,868,3877,1969,20020,1064,107,13827,638,1676,88,590,4005,1538,301,496,9314,3,3119,28433,11218,190,8054,367,92583,0,0,0,0,COLORADO,2013,790
138,Under 18,26879,547,5999,13,51,120,363,471,5108,297,123,1752,8,91,6,29,975,336,2,150,3374,1,57,253,1966,52,2262,0,7411,0,1608,208,5195484,COLORADO,2014,201
139,Total all ages,239994,5936,32318,128,458,939,4411,2671,27857,1565,225,16849,585,1928,88,319,5296,2164,347,525,13381,13,3225,27874,12641,271,9801,561,104264,0,1608,0,0,COLORADO,2014,983
140,Over 18,213115,5389,26319,115,407,819,4048,2200,22749,1268,102,15097,577,1837,82,290,4321,1828,345,375,10007,12,3168,27621,10675,219,7539,561,96853,0,0,0,0,COLORADO,2014,782
141,Under 18,24566,636,5446,9,78,137,412,481,4458,445,62,1766,7,94,9,34,931,313,2,112,2959,0,44,257,1721,79,2176,0,6676,0,1304,195,5105425,COLORADO,2015,190
142,Total all ages,226807,6242,31067,165,460,1005,4612,2381,26358,2150,178,17321,559,2083,99,421,5309,2219,641,484,14430,1,3185,25562,11072,432,8875,321,95180,0,1304,0,0,COLORADO,2015,944
143,Over 18,202241,5606,25621,156,382,868,4200,1900,21900,1705,116,15555,552,1989,90,387,4378,1906,639,372,11471,1,3141,25305,9351,353,6699,321,88504,0,0,0,0,COLORADO,2015,754
144,Under 18,21548,636,4753,6,52,126,452,432,3794,450,77,1697,6,63,7,32,833,294,1,102,2440,0,52,217,1389,47,1727,0,6099,0,1153,193,5008754,COLORADO,2016,154
145,Total all ages,225710,6691,29879,150,414,941,5186,2571,24495,2585,228,17079,679,2512,101,456,5354,2363,510,437,14790,3,2849,23364,9025,249,7486,453,100277,0,1153,0,0,COLORADO,2016,851
146,Over 18,204162,6055,25126,144,362,815,4734,2139,20701,2135,151,15382,673,2449,94,424,4521,2069,509,335,12350,3,2797,23147,7636,202,5759,453,94178,0,0,0,0,COLORADO,2016,697
147,Under 18,21183,773,3921,18,58,230,467,339,3135,377,70,1924,10,87,17,21,878,325,0,133,2615,2,34,239,1282,11,1729,0,6130,0,1052,198,5083702,COLORADO,2017,191
148,Total all ages,234409,7721,27157,176,442,1203,5900,2389,21737,2766,265,17009,734,2400,126,496,5508,2309,521,471,16626,19,3235,23664,8143,485,7284,596,108846,7,1052,0,0,COLORADO,2017,913
149,Over 18,213226,6948,23236,158,384,973,5433,2050,18602,2389,195,15085,724,2313,109,475,4630,1984,521,338,14011,17,3201,23425,6861,474,5555,596,102716,7,0,0,0,COLORADO,2017,722
150,Under 18,17906,758,3161,18,90,211,439,338,2455,314,54,1895,4,78,13,22,700,279,2,145,2257,0,37,217,1056,0,1762,0,4747,0,773,180,4952541,COLORADO,2018,235
151,Total all ages,193216,7832,24136,195,549,1166,5922,2301,19199,2437,199,16477,688,2243,112,526,4843,2313,376,521,16172,7,2466,20353,7007,144,6887,549,78790,1,773,0,0,COLORADO,2018,1070
152,Over 18,175310,7074,20975,177,459,955,5483,1963,16744,2123,145,14582,684,2165,99,504,4143,2034,374,376,13915,7,2429,20136,5951,144,5125,549,74043,1,0,0,0,COLORADO,2018,835
153,Under 18,16885,806,3062,16,86,251,453,319,2306,382,55,1972,9,63,2,25,843,339,2,135,1920,0,28,197,899,17,1565,0,4496,0,505,184,4910658,COLORADO,2019,221
154,Total all ages,195870,8058,25261,152,532,1148,6226,2518,19662,2883,198,16700,722,2771,69,487,5084,2414,354,463,15846,13,2145,19658,5863,378,5966,465,82648,0,505,0,0,COLORADO,2019,995
155,Over 18,178985,7252,22199,136,446,897,5773,2199,17356,2501,143,14728,713,2708,67,462,4241,2075,352,328,13926,13,2117,19461,4964,361,4401,465,78152,0,0,0,0,COLORADO,2019,774
156,Under 18,9095,706,1632,32,76,215,383,199,1081,301,51,1015,6,43,6,16,597,176,0,63,812,0,21,232,609,2,635,0,2221,0,303,197,5074548,COLORADO,2020,139
157,Total all ages,145095,8659,21458,236,441,1199,6783,2649,15064,3452,293,15449,488,1820,39,654,5215,2341,113,300,9231,0,1764,14421,3396,34,4221,89,55100,0,303,0,0,COLORADO,2020,741
158,Over 18,136000,7953,19826,204,365,984,6400,2450,13983,3151,242,14434,482,1777,33,638,4618,2165,113,237,8419,0,1743,14189,2787,32,3586,89,52879,0,0,0,0,COLORADO,2020,602
159,Under 18,9006,600,1184,29,60,140,371,142,791,208,43,1436,7,47,8,24,725,289,0,85,974,0,13,210,564,0,747,0,1937,0,156,203,5678716,COLORADO,2021,145
160,Total all ages,154110,8403,19517,229,437,1164,6573,2430,12741,4044,302,15902,369,1638,72,981,5469,2535,205,385,10203,2,2149,17037,3000,0,4314,89,61684,0,156,0,0,COLORADO,2021,822
161,Over 18,145104,7803,18333,200,377,1024,6202,2288,11950,3836,259,14466,362,1591,64,957,4744,2246,205,300,9229,2,2136,16827,2436,0,3567,89,59747,0,0,0,0,COLORADO,2021,677
162,Under 18,8960,457,1959,4,28,205,220,262,1353,164,180,2230,8,40,6,40,375,161,0,94,724,1,28,44,86,0,1484,0,1212,0,11,99,3410076,CONNECTICUT,2013,122
163,Total all ages,95685,3562,15338,48,178,1117,2219,2065,12300,574,399,16691,574,1018,185,318,1936,1030,221,427,9137,14,1284,8207,377,6,10032,16,25301,0,11,0,0,CONNECTICUT,2013,605
164,Over 18,86725,3105,13379,44,150,912,1999,1803,10947,410,219,14461,566,978,179,278,1561,869,221,333,8413,13,1256,8163,291,6,8548,16,24089,0,0,0,0,CONNECTICUT,2013,483
165,Under 18,9431,515,1917,5,33,213,264,323,1370,143,81,2378,15,31,1,36,437,199,1,85,732,0,41,33,72,0,1722,0,1209,0,7,101,3596160,CONNECTICUT,2014,118
166,Total all ages,107855,4051,17132,94,238,1166,2553,2409,13857,581,285,18508,681,963,164,285,2011,1129,348,389,9927,14,1401,8918,357,2,11949,26,29593,0,7,0,0,CONNECTICUT,2014,627
167,Over 18,98424,3536,15215,89,205,953,2289,2086,12487,438,204,16130,666,932,163,249,1574,930,347,304,9195,14,1360,8885,285,2,10227,26,28384,0,0,0,0,CONNECTICUT,2014,509
168,Under 18,7098,360,1666,1,19,151,189,271,1205,159,31,1845,16,21,3,42,343,156,1,84,493,0,14,36,55,0,1107,0,856,0,0,100,3301351,CONNECTICUT,2015,103
169,Total all ages,85327,3116,14016,85,179,983,1869,1776,11594,574,72,15341,531,786,158,223,1473,924,224,394,7635,12,1186,8148,212,8,8159,29,22752,0,0,0,0,CONNECTICUT,2015,573
170,Over 18,78229,2756,12350,84,160,832,1680,1505,10389,415,41,13496,515,765,155,181,1130,768,223,310,7142,12,1172,8112,157,8,7052,29,21896,0,0,0,0,CONNECTICUT,2015,470
171,Under 18,8264,416,1902,5,28,161,222,261,1330,275,36,1974,13,35,5,54,432,178,1,71,581,0,45,41,49,0,1485,0,978,0,4,104,3526707,CONNECTICUT,2016,99
172,Total all ages,100280,3741,14845,62,222,1016,2441,1935,11971,842,97,17935,553,893,161,366,2063,1185,212,348,9349,19,1450,8533,225,8,11640,36,26714,0,4,0,0,CONNECTICUT,2016,570
173,Over 18,92016,3325,12943,57,194,855,2219,1674,10641,567,61,15961,540,858,156,312,1631,1007,211,277,8768,19,1405,8492,176,8,10155,36,25736,0,0,0,0,CONNECTICUT,2016,471
174,Under 18,8133,436,1858,6,22,197,211,287,1222,324,25,1961,11,30,4,125,451,181,2,46,585,0,25,28,27,0,1406,1,953,0,3,105,3538025,CONNECTICUT,2017,68
175,Total all ages,100211,3844,14074,85,190,1082,2487,1998,11076,926,74,18621,649,912,144,693,2188,1242,183,368,9174,7,1500,8228,159,5,10579,24,27614,0,3,0,0,CONNECTICUT,2017,558
176,Over 18,92078,3408,12216,79,168,885,2276,1711,9854,602,49,16660,638,882,140,568,1737,1061,181,322,8589,7,1475,8200,132,5,9173,23,26661,0,0,0,0,CONNECTICUT,2017,490
177,Under 18,7106,325,1359,6,27,153,139,206,862,273,18,1763,10,41,1,135,284,153,0,64,489,1,34,18,18,0,1460,0,950,0,1,104,3457743,CONNECTICUT,2018,91
178,Total all ages,95709,3399,12312,79,212,870,2238,1624,9834,778,76,17370,582,921,140,692,1640,1088,184,360,8087,10,1363,7484,96,11,10505,41,29423,0,1,0,0,CONNECTICUT,2018,572
179,Over 18,88603,3074,10953,73,185,717,2099,1418,8972,505,58,15607,572,880,139,557,1356,935,184,296,7598,9,1329,7466,78,11,9045,41,28473,0,0,0,0,CONNECTICUT,2018,481
180,Under 18,6942,304,1405,4,37,144,119,214,946,228,17,1704,11,29,6,87,299,151,0,51,570,0,24,22,7,0,1328,0,935,0,9,107,3565287,CONNECTICUT,2019,88
181,Total all ages,92925,3060,11932,83,223,764,1990,1470,9754,646,62,16304,475,858,134,350,1711,1073,120,330,7295,11,1502,7577,86,11,10560,44,29483,0,9,0,0,CONNECTICUT,2019,553
182,Over 18,85983,2756,10527,79,186,620,1871,1256,8808,418,45,14600,464,829,128,263,1412,922,120,279,6725,11,1478,7555,79,11,9232,44,28548,0,0,0,0,CONNECTICUT,2019,465
183,Under 18,3791,232,956,10,23,103,96,132,569,244,11,761,8,14,4,152,189,73,0,29,203,1,21,16,9,0,607,0,515,0,1,107,3557006,CONNECTICUT,2020,52
184,Total all ages,68484,2664,8799,105,188,589,1782,1146,6919,667,67,14921,294,563,75,332,1529,1022,42,291,4422,7,1706,5151,59,0,8711,41,17854,0,1,0,0,CONNECTICUT,2020,479
185,Over 18,64693,2432,7843,95,165,486,1686,1014,6350,423,56,14160,286,549,71,180,1340,949,42,262,4219,6,1685,5135,50,0,8104,41,17339,0,0,0,0,CONNECTICUT,2020,427
186,Under 18,3523,196,615,9,13,90,84,82,313,208,12,830,3,29,3,65,175,158,0,26,125,0,13,25,9,0,684,0,566,0,1,107,3605597,CONNECTICUT,2021,39
187,Total all ages,69831,2346,7356,111,129,517,1589,986,5654,669,47,14977,212,450,66,245,1602,1181,32,267,3444,10,2063,6133,67,0,8489,109,20781,0,1,0,0,CONNECTICUT,2021,396
188,Over 18,66308,2150,6741,102,116,427,1505,904,5341,461,35,14147,209,421,63,180,1427,1023,32,241,3319,10,2050,6108,58,0,7805,109,20215,0,0,0,0,CONNECTICUT,2021,357
189,Under 18,4113,340,910,0,15,113,212,140,740,20,10,1076,2,54,0,52,175,77,0,40,486,0,2,1,160,9,301,0,376,0,52,46,923312,DELAWARE,2013,55
190,Total all ages,37321,2175,7407,9,64,511,1591,991,6295,93,28,7224,386,1795,196,394,907,332,100,188,6250,3,267,325,1336,530,1782,571,5101,0,52,0,0,DELAWARE,2013,252
191,Over 18,33208,1835,6497,9,49,398,1379,851,5555,73,18,6148,384,1741,196,342,732,255,100,148,5764,3,265,324,1176,521,1481,571,4725,0,0,0,0,DELAWARE,2013,197
192,Under 18,4133,339,930,4,14,146,175,190,706,24,10,1104,4,59,1,58,147,113,0,30,458,1,1,3,135,4,304,0,377,0,65,49,933379,DELAWARE,2014,44
193,Total all ages,36780,2126,7963,22,78,537,1489,1027,6780,128,28,6826,272,1884,204,435,774,394,64,137,6163,6,194,334,1120,473,1645,489,5212,0,65,0,0,DELAWARE,2014,215
194,Over 18,32647,1787,7033,18,64,391,1314,837,6074,104,18,5722,268,1825,203,377,627,281,64,107,5705,5,193,331,985,469,1341,489,4835,0,0,0,0,DELAWARE,2014,171
195,Under 18,3906,383,818,1,12,113,257,175,599,26,18,1036,6,55,3,75,214,86,0,23,380,0,3,2,107,4,280,0,370,0,61,60,945934,DELAWARE,2015,35
196,Total all ages,34687,2219,7328,42,76,496,1605,997,6195,104,32,6744,310,1705,214,386,860,332,100,117,5734,0,198,386,891,365,1235,419,5083,0,61,0,0,DELAWARE,2015,193
197,Over 18,30781,1836,6510,41,64,383,1348,822,5596,78,14,5708,304,1650,211,311,646,246,100,94,5354,0,195,384,784,361,955,419,4713,0,0,0,0,DELAWARE,2015,158
198,Under 18,3704,348,712,5,12,119,212,137,537,34,4,1008,3,70,2,119,207,98,0,33,340,0,0,0,84,1,287,0,345,0,47,56,950787,DELAWARE,2016,45
199,Total all ages,33553,2224,7165,29,58,526,1611,1053,5964,122,26,6630,290,1769,198,468,886,388,89,128,4289,1,195,355,884,345,1312,332,5558,0,47,0,0,DELAWARE,2016,186
200,Over 18,29849,1876,6453,24,46,407,1399,916,5427,88,22,5622,287,1699,196,349,679,290,89,95,3949,1,195,355,800,344,1025,332,5213,0,0,0,0,DELAWARE,2016,141
201,Under 18,3360,284,661,1,18,84,181,146,462,35,18,911,0,60,4,73,154,82,0,37,335,1,0,0,71,3,287,0,364,0,33,62,961939,DELAWARE,2017,55
202,Total all ages,31549,1989,6156,42,69,476,1402,950,5038,136,32,6225,283,1837,221,401,749,338,81,122,4015,20,176,347,635,377,1339,226,5979,0,33,0,0,DELAWARE,2017,191
203,Over 18,28189,1705,5495,41,51,392,1221,804,4576,101,14,5314,283,1777,217,328,595,256,81,85,3680,19,176,347,564,374,1052,226,5615,0,0,0,0,DELAWARE,2017,136
204,Under 18,2851,302,547,2,15,86,199,134,370,41,2,788,4,48,2,62,114,82,1,28,279,1,0,0,49,1,228,0,283,0,32,52,964106,DELAWARE,2018,43
205,Total all ages,28742,1965,5337,33,77,391,1464,688,4511,116,22,6121,210,1348,163,324,755,322,121,107,3707,9,185,427,669,323,1164,164,5289,0,32,0,0,DELAWARE,2018,184
206,Over 18,25891,1663,4790,31,62,305,1265,554,4141,75,20,5333,206,1300,161,262,641,240,120,79,3428,8,185,427,620,322,936,164,5006,0,0,0,0,DELAWARE,2018,141
207,Under 18,2924,316,551,1,14,107,194,145,325,74,7,836,1,60,6,81,140,59,0,20,256,3,0,2,24,3,214,0,312,0,40,52,970535,DELAWARE,2019,34
208,Total all ages,30038,1898,5422,20,75,383,1420,745,4461,192,24,6400,219,1312,162,365,849,325,82,101,3815,20,157,452,539,356,1138,229,6157,0,40,0,0,DELAWARE,2019,176
209,Over 18,27114,1582,4871,19,61,276,1226,600,4136,118,17,5564,218,1252,156,284,709,266,82,81,3559,17,157,450,515,353,924,229,5845,0,0,0,0,DELAWARE,2019,142
210,Under 18,1862,215,382,1,11,90,113,132,184,59,7,459,1,27,2,89,124,56,0,16,96,0,0,2,22,6,84,0,257,0,24,54,984527,DELAWARE,2020,27
211,Total all ages,24636,1796,4147,17,74,315,1390,643,3327,159,18,5392,122,827,92,346,850,343,31,99,3308,9,147,294,198,238,782,142,5449,0,24,0,0,DELAWARE,2020,173
212,Over 18,22774,1581,3765,16,63,225,1277,511,3143,100,11,4933,121,800,90,257,726,287,31,83,3212,9,147,292,176,232,698,142,5192,0,0,0,0,DELAWARE,2020,146
213,Under 18,1651,230,244,4,8,80,138,71,115,52,6,469,1,26,2,95,68,68,0,18,113,0,1,0,12,0,70,0,229,0,4,53,1001629,DELAWARE,2021,26
214,Total all ages,25043,1752,3454,32,71,273,1376,447,2801,186,20,5475,98,952,79,344,874,424,10,106,3566,4,163,324,345,0,936,105,6026,0,4,0,0,DELAWARE,2021,177
215,Over 18,23392,1522,3210,28,63,193,1238,376,2686,134,14,5006,97,926,77,249,806,356,10,88,3453,4,162,324,333,0,866,105,5797,0,0,0,0,DELAWARE,2021,151
216,Under 18,72304,4663,20479,38,295,1674,2656,5750,13374,1284,71,10973,42,433,13,175,1363,808,28,184,7994,5,0,230,1061,0,0,0,23853,0,0,614,19487611,FLORIDA,2013,479
217,Total all ages,904135,40567,122990,662,1842,7940,30123,22822,94392,5452,324,82557,2527,13988,950,2794,6680,5088,3755,2663,126137,303,0,41994,25229,0,0,0,425913,0,0,0,0,FLORIDA,2013,4505
218,Over 18,831831,35904,102511,624,1547,6266,27467,17072,81018,4168,253,71584,2485,13555,937,2619,5317,4280,3727,2479,118143,298,0,41764,24168,0,0,0,402060,0,0,0,0,FLORIDA,2013,4026
219,Under 18,66839,4536,19449,49,270,1657,2560,5462,12220,1700,67,10075,52,450,21,130,1297,854,27,219,7382,5,0,130,864,0,0,0,21348,0,0,591,19829171,FLORIDA,2014,489
220,Total all ages,865272,39249,119875,685,1839,7712,29013,20914,92468,6204,289,81138,2482,12236,954,2400,6464,4911,3356,2583,122190,416,0,42745,21682,0,0,0,402591,0,0,0,0,FLORIDA,2014,4422
221,Over 18,798433,34713,100426,636,1569,6055,26453,15452,80248,4504,222,71063,2430,11786,933,2270,5167,4057,3329,2364,114808,411,0,42615,20818,0,0,0,381243,0,0,0,0,FLORIDA,2014,3933
222,Under 18,62148,4256,18745,52,258,1544,2402,5089,11278,2307,71,9558,36,365,20,185,1258,849,15,203,6334,9,0,88,589,0,0,0,19638,0,0,673,20222616,FLORIDA,2015,461
223,Total all ages,772956,38453,115264,671,1800,7191,28791,18919,88770,7290,285,80726,2345,11880,1024,1980,6566,4877,2706,2243,114988,157,0,31783,17431,0,0,0,340533,0,0,0,0,FLORIDA,2015,4043
224,Over 18,710808,34197,96519,619,1542,5647,26389,13830,77492,4983,214,71168,2309,11515,1004,1795,5308,4028,2691,2040,108654,148,0,31695,16842,0,0,0,320895,0,0,0,0,FLORIDA,2015,3582
225,Under 18,57843,3861,17688,45,248,1541,2027,4817,10005,2810,56,8670,45,388,26,157,1166,801,7,293,5584,4,0,109,496,0,0,0,18548,0,0,668,20566240,FLORIDA,2016,541
226,Total all ages,726396,35807,102639,642,1747,6521,26897,18037,76139,8211,252,76450,2247,11954,1041,1774,6192,5152,2397,2728,114550,149,0,35042,14280,0,0,0,313994,0,0,0,0,FLORIDA,2016,4475
227,Over 18,668553,31946,84951,597,1499,4980,24870,13220,66134,5401,196,67780,2202,11566,1015,1617,5026,4351,2390,2435,108966,145,0,34933,13784,0,0,0,295446,0,0,0,0,FLORIDA,2016,3934
228,Under 18,55359,3829,15812,43,263,1545,1978,4066,9081,2617,48,8456,46,423,20,184,1178,864,11,250,5497,0,0,96,529,0,1,0,18158,0,5,605,20971216,FLORIDA,2017,513
229,Total all ages,713085,36251,91063,635,1873,6398,27345,16483,66033,8306,241,78943,2040,11613,1057,1841,6371,6306,2468,3001,124487,71,4,32727,11739,37,33,0,303028,0,5,0,0,FLORIDA,2017,4874
230,Over 18,657726,32422,75251,592,1610,4853,25367,12417,56952,5689,193,70487,1994,11190,1037,1657,5193,5442,2457,2751,118990,71,4,32631,11210,37,32,0,284870,0,0,0,0,FLORIDA,2017,4361
231,Under 18,48213,3218,12686,46,253,1090,1829,3040,7380,2209,57,8152,48,401,32,119,890,799,0,290,5399,4,0,69,405,0,0,0,15701,0,0,596,21278278,FLORIDA,2018,543
232,Total all ages,715424,34907,89456,712,1936,5761,26498,14757,66157,8295,247,80570,1989,11207,1086,1632,6129,6604,1920,2862,134142,123,0,32127,10590,0,0,0,300080,0,0,0,0,FLORIDA,2018,4798
233,Over 18,667211,31689,76770,666,1683,4671,24669,11717,58777,6086,190,72418,1941,10806,1054,1513,5239,5805,1920,2572,128743,119,0,32058,10185,0,0,0,284379,0,0,0,0,FLORIDA,2018,4255
234,Under 18,44634,3268,11457,58,247,1252,1711,2678,6665,2062,52,7913,29,368,32,158,840,871,4,321,3881,0,0,118,282,1,0,0,15091,0,0,618,21418599,FLORIDA,2019,568
235,Total all ages,679072,33860,85675,787,1765,6006,25302,13560,64087,7776,252,80785,1808,11226,1047,1512,5956,6551,2049,3209,110145,107,10,33872,10774,32,43,0,290411,0,0,0,0,FLORIDA,2019,4974
236,Over 18,634438,30592,74218,729,1518,4754,23591,10882,57422,5714,200,72872,1779,10858,1015,1354,5116,5680,2045,2888,106264,107,10,33754,10492,31,43,0,275320,0,0,0,0,FLORIDA,2019,4406
237,Under 18,31471,2702,8802,73,216,1012,1401,2313,4584,1866,39,5816,24,263,15,160,648,717,1,248,1537,0,0,134,282,0,0,0,10122,0,0,572,21634872,FLORIDA,2020,464
238,Total all ages,506402,34186,66397,840,1815,5464,26067,12554,46430,7156,257,75236,1207,8216,647,1301,5791,7470,940,2921,68471,109,0,29073,5993,0,0,0,198444,0,0,0,0,FLORIDA,2020,4736
239,Over 18,474931,31484,57595,767,1599,4452,24666,10241,41846,5290,218,69420,1183,7953,632,1141,5143,6753,939,2673,66934,109,0,28939,5711,0,0,0,188322,0,0,0,0,FLORIDA,2020,4272
240,Under 18,19,3,3,0,0,2,1,0,2,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,FLORIDA,2021,0
241,Total all ages,927,49,115,0,5,17,27,10,92,13,0,199,5,16,1,21,13,21,0,0,104,0,11,30,1,0,15,2,323,0,1,0,0,FLORIDA,2021,5
242,Over 18,908,46,112,0,5,15,26,10,90,12,0,192,5,16,1,20,13,21,0,0,104,0,11,30,1,0,15,2,319,0,0,0,0,FLORIDA,2021,5
243,Under 18,32285,1510,8661,91,50,585,784,1828,6361,419,53,4636,69,241,8,441,571,613,25,461,2986,5,163,162,800,48,3771,63,6371,5,675,387,8998583,GEORGIA,2013,511
244,Total all ages,323435,12146,49993,455,346,2714,8631,7258,40956,1579,200,31366,3790,5334,518,3355,3667,3392,1176,3564,44539,211,3634,25912,7649,2657,23724,1133,94916,84,675,0,0,GEORGIA,2013,3910
245,Over 18,291150,10636,41332,364,296,2129,7847,5430,34595,1160,147,26730,3721,5093,510,2914,3096,2779,1151,3103,41553,206,3471,25750,6849,2609,19953,1070,88545,79,0,0,0,GEORGIA,2013,3399
246,Under 18,28458,1461,8233,44,30,594,793,1740,5956,485,52,4079,51,181,5,378,801,458,20,375,2461,10,173,147,642,58,2627,63,5413,196,626,375,8760392,GEORGIA,2014,405
247,Total all ages,307221,11535,47951,419,326,2625,8165,6739,39374,1624,214,29725,3512,5485,399,3048,3913,3363,679,3229,42619,238,3849,23004,6706,2051,19913,1205,93921,250,626,0,0,GEORGIA,2014,3555
248,Over 18,278763,10074,39718,375,296,2031,7372,4999,33418,1139,162,25646,3461,5304,394,2670,3112,2905,659,2854,40158,228,3676,22857,6064,1993,17286,1142,88508,54,0,0,0,GEORGIA,2014,3150
249,Under 18,22701,1036,6065,22,21,393,600,1225,4481,328,31,3297,36,191,10,323,519,465,14,416,2128,4,194,117,432,37,1896,168,4920,7,426,378,7765684,GEORGIA,2015,437
250,Total all ages,231108,8537,35014,306,211,1756,6264,4667,29109,1113,125,22124,2581,4246,285,2310,2789,2655,531,2199,34837,143,2885,19217,3067,1757,12086,851,72555,13,426,0,0,GEORGIA,2015,2410
251,Over 18,208407,7501,28949,284,190,1363,5664,3442,24628,785,94,18827,2545,4055,275,1987,2270,2190,517,1783,32709,139,2691,19100,2635,1720,10190,683,67635,6,0,0,0,GEORGIA,2015,1973
252,Under 18,22646,1282,5599,60,42,514,666,1043,4145,382,29,3636,65,112,8,373,620,551,12,418,2402,7,133,89,326,20,2184,99,4380,0,330,402,8150300,GEORGIA,2016,460
253,Total all ages,238684,11105,32573,403,274,2018,8410,4506,26601,1328,138,22486,2379,3323,223,2819,3643,3141,455,2783,39593,76,2944,18939,4262,1442,14886,1574,69708,0,330,0,0,GEORGIA,2016,3057
254,Over 18,216038,9823,26974,343,232,1504,7744,3463,22456,946,109,18850,2314,3211,215,2446,3023,2590,443,2365,37191,69,2811,18850,3936,1422,12702,1475,65328,0,0,0,0,GEORGIA,2016,2597
255,Under 18,19766,1206,5177,46,42,396,722,996,3697,457,27,2712,48,110,9,373,567,412,4,313,2127,6,129,99,260,30,1637,129,4080,7,331,389,8205589,GEORGIA,2017,355
256,Total all ages,230640,10843,31080,380,284,1697,8482,4035,25397,1499,149,20268,2241,3028,292,2881,3633,3317,379,2434,40608,58,2805,17436,3458,1457,13334,1285,69459,13,331,0,0,GEORGIA,2017,2718
257,Over 18,210874,9637,25903,334,242,1301,7760,3039,21700,1042,122,17556,2193,2918,283,2508,3066,2905,375,2121,38481,52,2676,17337,3198,1427,11697,1156,65379,6,0,0,0,GEORGIA,2017,2363
258,Under 18,15400,836,3161,50,24,233,529,590,2311,228,32,2451,32,74,1,241,467,391,4,264,2053,2,122,139,207,14,1387,77,3328,6,143,258,6742246,GEORGIA,2018,288
259,Total all ages,200643,7920,22314,307,168,990,6455,2689,18597,913,115,16260,1573,2298,127,2147,2919,2619,322,1629,37291,152,2607,23449,1467,1273,9230,366,64518,19,143,0,0,GEORGIA,2018,1797
260,Over 18,185243,7084,19153,257,144,757,5926,2099,16286,685,83,13809,1541,2224,126,1906,2452,2228,318,1365,35238,150,2485,23310,1260,1259,7843,289,61190,13,0,0,0,GEORGIA,2018,1509
261,Under 18,5176,270,1032,11,12,85,162,174,783,63,12,1018,19,24,0,79,139,145,1,103,599,0,34,26,57,18,481,17,1018,0,96,112,2372788,GEORGIA,2019,115
262,Total all ages,59704,2313,7510,70,88,316,1839,873,6318,282,37,4924,493,712,17,634,1048,742,148,394,10763,15,784,5620,461,466,2986,322,19252,4,96,0,0,GEORGIA,2019,482
263,Over 18,54528,2043,6478,59,76,231,1677,699,5535,219,25,3906,474,688,17,555,909,597,147,291,10164,15,750,5594,404,448,2505,305,18234,4,0,0,0,GEORGIA,2019,367
264,Under 18,6383,538,1190,15,55,120,348,222,839,121,8,1259,18,56,0,133,335,170,3,74,604,1,16,75,29,2,400,0,1374,0,106,289,6073704,GEORGIA,2020,129
265,Total all ages,110543,6002,11561,202,282,505,5013,1387,9355,717,102,11906,695,1653,8,1322,2642,1235,107,362,17294,9,686,12808,569,561,5171,823,35023,0,106,0,0,GEORGIA,2020,644
266,Over 18,104160,5464,10371,187,227,385,4665,1165,8516,596,94,10647,677,1597,8,1189,2307,1065,104,288,16690,8,670,12733,540,559,4771,823,33649,0,0,0,0,GEORGIA,2020,515
